Number,Name_Code,Lat,Long,Prefecture,County,# Shawn,# ETNAM,Tier,Distance to County Centre,Distance to Industrial Park,Watchtowers,Interior Fencing,External Wall,Have security features been added or removed,Security Features Changed,Security features changed when,Have recreational features been added or removed,Recreational features changed,Usage prior to 2017,Name,Organised visits,Other footage,Other Evidence,Eyewitness Accounts,Any signs of decomissioning,Decomissioning signs,Number of Buildings in 2017,Number of Buildings in 2018,Number of Buildings in 2019,Number of Buildings in 2020,Construction ongoing in 2019?,Construction ongoing in 2020?,Number of factories within the complex,Number of factories adjacent to the complex,Distance to residential buildings,Distance to pre-school (max 1km),Notes(tmp),Notes,Photos,Videos,Date of Latest Sat Imagery,Highlight,Desecuritisation
225,Fukang Facility #2,44.19624402,87.87992307,Sanji,Fukang,#N/A,P_SA11,3,13.41,2.3,1,0,1,0,,N/A,1,Sports court,Barren,,,,,,0,N/A,12,12,12,12,0,0,0,0,4.4,N/A,,"A Tier 3 detention centre in Fukang, Sanji with watchtowers and an external wall. .",,,20-Apr,,0
226,Korgas Facility #5,44.02501403,80.87406655,Ili,Korgas,32,#N/A,1,4.43,0.3,0,0,1,0,,N/A,1,Running track/sports field,Sports facility,,,,,,0,N/A,N/A,4,N/A,7,1,0,3,6,0.5,N/A,,"A Tier 1 re-education facility in Korgas, Ili with an external wall. .",,,20-Mar,,0
227,Kashgar Facility #3,39.45432043,76.10956721,Kashgar,Kashgar,35,#N/A,1,10.25,N/A,0,0,1,0,,N/A,1,Sports courts,Farmland,,,,,,0,N/A,16,17,17,17,0,0,4,0,1.8,N/A,,"A Tier 1 re-education facility in Kashgar, Kashgar with an external wall. .",,,20-Jul,,0
228,Aksu Facility #1,41.12445405,80.17226165,Aksu,Aksu,53,C_AQ01,2,11.98,0.8,1,0,1,0,,N/A,0,N/A,?,,,,,,0,N/A,38,38,38,38,0,0,7,4,3.8,N/A,,"A Tier 2 re-education facility in Aksu, Aksu with watchtowers and an external wall. .",,,20-Feb,1,0
229,Chira Facility #3,36.98250962,80.81456677,Hotan,Chira,61,C_HO20,1,2.4,2.2,0,0,1,0,,N/A,1,Sports courts,Barren,,,,,,0,N/A,0,15,20,N/A,1,1,5,4,0.6,N/A,,"A Tier 1 re-education facility in Chira, Hotan with an external wall. .",,,19-Nov,,0
230,Onsu Facility #5,41.07994727,80.39631007,Aksu,Onsu,#N/A,P_AQ07,4,19.66,2.4,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,14,14,N/A,0,0,0,0,4.5,N/A,,"A Tier 4 prison in Onsu, Aksu with watchtowers and an external wall. .",,,19-Oct,,0
232,Hotan County Facility #7,37.25093861,79.84599373,Hotan,Hotan County,5,C_HO05,1,13.56,2.1,0,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,28,30,30,30,0,0,2,10,0.9,N/A,,"A Tier 1 re-education facility in Hotan County, Hotan with an external wall. .",,,20-Jul,,0
233,Maralbeshi Facility #5,39.6900938,78.04393585,Kashgar,Maralbeshi,#N/A,#N/A,3,57.92,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,"A Tier 3 detention centre in Maralbeshi, Kashgar. .",,,14-Jun,1,0
234,Aral Facility #2,40.64110503,81.5021993,Aral,Aral,#N/A,C_AQ17,3,28.22,1.2,1,1,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,N/A,N/A,16,N/A,0,1,0,0,0.6,N/A,,"A Tier 3 detention centre in Aral, Aral with watchtowers and interior fencing and an external wall. .",,,19-Jun,,0
235,Yengisheher Facility #5,39.35991774,76.05024992,Kashgar,Yengisheher,3,P_QE07,4,5.98,4.6,1,1,1,0,,N/A,0,N/A,?,,,,,,0,N/A,0,10,10,10,0,0,0,0,1.6,N/A,,"A Tier 4 prison in Yengisheher, Kashgar with watchtowers and interior fencing and an external wall. .",,,20-May,1,0
236,Shihezi Facility #1,44.23605885,85.9689722,Shihezi,Shihezi,#N/A,P_SH03,3,16.52,N/A,1,0,1,0,,N/A,0,N/A,Industrial,,,,,,0,N/A,24,24,N/A,24,1,0,6,6,1.2,N/A,,"A Tier 3 detention centre in Shihezi, Shihezi with watchtowers and an external wall. .",,,20-Mar,,0
237,Pichan Facility #3,42.87686142,90.23700967,Turpan,Pichan,#N/A,C_TU09,1,2.91,N/A,0,0,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,N/A,6,6,6,0,0,0,2,0.4,N/A,,"A Tier 1 re-education facility in Pichan, Turpan with an external wall. .",,,20-Apr,,0
238,Shayar Facility #4,41.23374435,82.83530553,Aksu,Shayar,Additional,C_AQ14,3,6.22,1.1,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,0,32,31,31,0,0,0,6,0.8,N/A,,"A Tier 3 detention centre in Shayar, Aksu with watchtowers and an external wall. .",,,20-Apr,,0
239,Shawan Facility #2,44.34727005,85.63985628,Tarbaghatay,Shawan,#N/A,#N/A,3,3.97,0.6,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,0,0,0,44,0,1,1,0,1.4,N/A,Still ongoing construction,"A Tier 3 detention centre in Shawan, Tarbaghatay with watchtowers and an external wall. Still ongoing construction.",,,20-Mar,,0
240,Burchin Facility #1,47.71016389,86.85877103,Altay,Burchin,#N/A,C_AL03,3,2.23,N/A,0,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,9,N/A,0,0,0,0,0.3,N/A,,"A Tier 3 detention centre in Burchin, Altay with an external wall. .",,,19-Sep,,0
241,Mongolkure Facility #2,43.14967622,81.10931004,Ili,Mongolkure,73,C_GH24,2,2.68,4.3,0,0,0,1,an external wall was removed,2019,0,N/A,?,,,,,,0,N/A,N/A,15,15,N/A,0,0,0,0,0.2,N/A,,"A Tier 2 re-education facility in Mongolkure, Ili.  Since it was completed, an external wall was removed..",,,19-Aug,1,1
242,Shawan Facility #3,44.34616735,85.62916,Tarbaghatay,Shawan,83,C_CH04,2,3.26,0.4,0,1,1,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,N/A,9,9,N/A,0,0,0,0,0.8,N/A,,"A Tier 2 re-education facility in Shawan, Tarbaghatay with and interior fencing and an external wall. .",,,20-Mar,,0
243,Korla Facility #6,41.70349702,86.28332373,Bayingolun,Korla,25,C_KO01,3,12.55,4.4,0,0,1,0,,N/A,1,Sports court,Barren,,,,,,0,N/A,0,24,36,36,1,0,14,0,4.4,N/A,,"A Tier 3 detention centre in Korla, Bayingolun with an external wall. .",,,20-Jun,,0
244,Aral Facility #3,40.56496789,81.23598559,Aral,Aral,#N/A,C_AQ19,3,5.57,1.2,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,16,N/A,0,0,2,4,3.1,N/A,,"A Tier 3 detention centre in Aral, Aral with watchtowers and an external wall. .",,,19-Mar,,0
245,Qumul Facility #4,42.85613771,93.42164754,Qumul,Qumul,#N/A,C_QU02,2,11.88,0.6,0,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,24,24,24,24,0,0,0,0,1.6,N/A,,"A Tier 2 re-education facility in Qumul, Qumul with an external wall. .",,,20-Mar,,0
246,Fukang Facility #3,44.19612063,87.8745879,Sanji,Fukang,59,C_SA09,3,13.94,2.1,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,0,9,12,12,1,0,1,0,0.8,N/A,,"A Tier 3 detention centre in Fukang, Sanji with watchtowers and an external wall. .",,,20-Apr,,0
247,Shawan Facility #4,44.34587777,85.63096201,Tarbaghatay,Shawan,83,P_CH11,4,3.29,0.3,1,0,1,0,,N/A,0,N/A,Prison,,,,,,0,N/A,0,5,5,5,0,0,0,0,0.4,N/A,,"A Tier 4 prison in Shawan, Tarbaghatay with watchtowers and an external wall. .",,,20-Mar,,0
248,Pichan Facility #4,42.85999886,90.22203638,Turpan,Pichan,#N/A,C_TU08,1,1.64,N/A,0,0,1,0,,N/A,0,N/A,?,,,,,,0,N/A,0,15,15,15,0,0,3,0,0.2,N/A,,"A Tier 1 re-education facility in Pichan, Turpan with an external wall. .",,,20-Apr,1,0
249,Ghulja City Facility #6,43.902944,81.389026,Ili,Ghulja City,#N/A,C_GH02,3,28.24,0.5,1,0,1,0,,N/A,0,N/A,?,,,,,,0,N/A,15,17,17,17,0,0,0,0,0.5,N/A,,"A Tier 3 detention centre in Ghulja City, Ili with watchtowers and an external wall. .",,,20-May,1,0
250,Karamay Facility #2,45.53034695,84.80199387,Karamay,Karamay,#N/A,P_QA02,4,12.5,N/A,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,0,22,22,23,0,0,0,0,7.1,N/A,,"A Tier 4 prison in Karamay, Karamay with watchtowers and an external wall. .",,,20-Mar,,0
251,Tiemenguan Facility #3,41.88522183,85.58947361,Tiemenguan,Tiemenguan,#N/A,#N/A,3,13.1,0.6,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,28,N/A,0,0,8,0,7.7,N/A,,"A Tier 3 detention centre in Tiemenguan, Tiemenguan with watchtowers and an external wall. .",,,19-Jun,,0
252,Maralbeshi Facility #6,39.74062219,78.01150858,Kashgar,Maralbeshi,#N/A,#N/A,3,60.21,0.2,1,0,1,0,,N/A,0,N/A,?,,,,,,0,N/A,N/A,N/A,9,N/A,0,0,0,3,3.9,N/A,,"A Tier 3 detention centre in Maralbeshi, Kashgar with watchtowers and an external wall. .",,,19-Apr,1,0
253,Maralbeshi Facility #7,39.71752642,78.06768849,Kashgar,Maralbeshi,#N/A,#N/A,3,54.5,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,"A Tier 3 detention centre in Maralbeshi, Kashgar. .",,,14-Jun,1,0
254,Wujiaqu Facility #1,44.18484838,87.56277592,Wujiaqu,Wujiaqu,#N/A,C_WU01,1,3.55,1.4,0,0,1,0,,N/A,1,Sports courts,Barren,,,,,,0,N/A,3,7,14,15,1,0,1,0,1.3,N/A,,"A Tier 1 re-education facility in Wujiaqu, Wujiaqu with an external wall. .",,,20-Apr,,0
255,Lop Facility #6,37.03589441,80.26021703,Hotan,Lop,#N/A,#N/A,2,9.52,0.4,0,0,0,0,,N/A,1,Running track,Barren,,,,,,0,N/A,N/A,N/A,27,19,0,0,5,11,5.7,N/A,Some factories were removed from the facility,"A Tier 2 re-education facility in Lop, Hotan. Some factories were removed from the facility.",,,20-Mar,,0
256,Mekit Facility #3,38.83673177,77.70562535,Kashgar,Mekit,8,P_QE17,4,11.4,N/A,1,0,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,N/A,N/A,N/A,15,0,0,0,0,1.5,N/A,,"A Tier 4 prison in Mekit, Kashgar with watchtowers and an external wall. .",,,20-Mar,,0
257,Akto Facility #4,39.14806284,75.9524939,Kizilsu,Akto,22,C_AR07,1,0.57,0.8,0,0,0,0,,N/A,0,N/A,?,,,,,,0,N/A,17,17,17,17,0,0,0,0,0.7,N/A,,"A Tier 1 re-education facility in Akto, Kizilsu. .",,,20-Mar,1,0
258,Kashgar Facility #4,39.45147513,76.11062005,Kashgar,Kashgar,35,C_QE02,2,10.02,N/A,0,0,0,0,,N/A,0,N/A,Farmland,,,,,,0,N/A,55,55,55,55,0,0,0,4,1,0.9,,"A Tier 2 re-education facility in Kashgar, Kashgar. .",,,20-Feb,,0
259,Yarkant Facility #13,38.36301726,77.22568002,Kashgar,Yarkant,43,C_QE28,2,7.61,1.6,1,0,1,0,,N/A,1,Sports courts,Barren,,,,,,0,N/A,6,8,8,8,0,0,2,12,0.5,N/A,,"A Tier 2 re-education facility in Yarkant, Kashgar with watchtowers and an external wall. .",,,20-May,,0
260,Konasheher Facility #5,39.3963431,75.9599662,Kashgar,Konasheher,#N/A,#N/A,3,,3.2,1,1,1,0,,N/A,0,N/A,Barren,,,,,,0,N/A,0,0,25,25,1,0,0,0,1.6,N/A,"Only opened in January 2020. This facility is built next door to a Vocational and Technical school that was, until April 2020, funded by the World Bank. It has 14m high walls with 10m tall watchtowers and 13 five storey tall residential complexes. We estimate that this facility has the capacity to detain roughly 10,000 people.","A Tier 3 detention centre in Konasheher, Kashgar with watchtowers and interior fencing and an external wall. Only opened in January 2020. This facility is built next door to a Vocational and Technical school that was, until April 2020, funded by the World Bank. It has 14m high walls with 10m tall watchtowers and 13 five storey tall residential complexes. We estimate that this facility has the capacity to detain roughly 10,000 people.",,,20-Apr,1,0
261,Xinshi Facility #2,43.890019,87.579816,Urumqi,Xinshi,#N/A,#N/A,3,,N/A,1,1,1,0,,N/A,,,Prison,,,,,,0,,28,,,,0,0,,,,,,"A Tier 3 detention centre in Xinshi, Urumqi with watchtowers and interior fencing and an external wall. .",,,,,0
262,Xinshi Facility #3,43.898324,87.579369,Urumqi,Xinshi,#N/A,#N/A,3,,,1,1,1,1,parts of the internal wall were removed and some interior fencing were added,2ndHf2017,,,,,,,,,,,14,18,18,18,0,0,,,,,,"A Tier 3 detention centre in Xinshi, Urumqi with watchtowers and interior fencing and an external wall.  Since it was completed, parts of the internal wall were removed and some interior fencing were added..",,,,,0
263,Xinshi Facility #4,43.895671,87.574951,Urumqi,Xinshi,#N/A,#N/A,1,,,0,0,1,0,,N/A,,,,,,,,,,,9,9,9,9,0,0,,,,,,"A Tier 1 re-education facility in Xinshi, Urumqi with an external wall. .",,,,,
264,Xinshi Facility #5,43.89673,87.576903,Urumqi,Xinshi,#N/A,#N/A,4,,,1,0,1,1,,1stHf2020,,,,,,,,,,,5,5,5,7,0,1,,,,,Still under construction as of July 2020,"A Tier 4 prison in Xinshi, Urumqi with watchtowers and an external wall. Still under construction as of July 2020.",,,,,
265,Xinshi Facility #6,43.941076,87.579293,Urumqi,Xinshi,#N/A,#N/A,4,,,1,1,1,0,,N/A,,,,,,,,,,,14,18,18,18,0,0,,,,,,"A Tier 4 prison in Xinshi, Urumqi with watchtowers and interior fencing and an external wall. .",,,,,
266,Xinshi Facility #7,43.940279,87.574304,Urumqi,Xinshi,#N/A,#N/A,3,,,1,1,1,0,,N/A,,,,,,,,,,,4,15,15,15,0,0,,,,,,"A Tier 3 detention centre in Xinshi, Urumqi with watchtowers and interior fencing and an external wall. .",,,,,
267,Xinshi Facility #8,43.925041,87.584088,Urumqi,Xinshi,#N/A,#N/A,4,,,1,1,1,1,some interior fencing were added with expansion,2ndHf2019,,,,,,,,,,,19,21,21,27,0,0,,,,,,"A Tier 4 prison in Xinshi, Urumqi with watchtowers and interior fencing and an external wall.  Since it was completed, some interior fencing were added with expansion..",,,,,
268,Xinshi Facility #9,43.927294,87.589402,Urumqi,Xinshi,#N/A,#N/A,4,,,1,1,1,1,an internal wall was removed and interior fencing were added with expansion.,1stHf2019,,,,,,,,,,,8,12,12,12,0,1,,,,,Still with active construction as of July 2020. ,"A Tier 4 prison in Xinshi, Urumqi with watchtowers and interior fencing and an external wall.  Since it was completed, an internal wall was removed and interior fencing were added with expansion..Still with active construction as of July 2020. .",,,,,
269,Xinshi Facility #10,43.930782,87.58984,Urumqi,Xinshi,#N/A,#N/A,4,,,1,1,1,0,,N/A,,,,,,,,,,,8,9,9,9,0,0,,,,,,"A Tier 4 prison in Xinshi, Urumqi with watchtowers and interior fencing and an external wall. .",,,,,
270,Shuimogou Facility #2,43.82212,87.692976,Urumqi,Shuimogou,#N/A,#N/A,2,,,0,1,1,1,some interior fencing were added,2ndHf2017,,,,,,,,,,,6,6,6,6,0,0,,,,,,"A Tier 2 re-education facility in Shuimogou, Urumqi with and interior fencing and an external wall.  Since it was completed, some interior fencing were added..",,,,,
271,Shuimogou Facility #3,43.825587,87.629606,Urumqi,Shuimogou,#N/A,#N/A,4,,,1,0,1,0,,N/A,,,,,,,,,,,12,12,12,12,0,0,,,,,,"A Tier 4 prison in Shuimogou, Urumqi with watchtowers and an external wall. .",,,,,
272,Saybagh Facility #2,43.796634,87.560116,Urumqi,Saybagh,#N/A,#N/A,4,,,1,0,1,0,,N/A,,,,,,,,,,,15,28,28,28,0,0,,,,,,"A Tier 4 prison in Saybagh, Urumqi with watchtowers and an external wall. .",,,,,
273,Urumqi Facility #2,43.622102,87.583954,Urumqi,Urumqi,#N/A,#N/A,3,,,0,1,1,1,an external wall was replaced and since expanded,2019,,,,,,,,,,,5,5,5,5,0,0,,,,,,"A Tier 3 detention centre in Urumqi, Urumqi with and interior fencing and an external wall.  Since it was completed, an external wall was replaced and since expanded..",,,,,
274,Tianshan Facility #1,43.747737,87.646457,Urumqi,Tianshan,#N/A,#N/A,4,,,1,0,1,0,,N/A,,,,,,,,,,,9,9,11,11,1,0,,,,,,"A Tier 4 prison in Tianshan, Urumqi with watchtowers and an external wall. .",,,,,
275,Konasheher Facility #6,39.368567,75.856044,Kashgar,Konasheher,#N/A,#N/A,1,,,0,0,1,0,,N/A,,,,,,,,,,,15,15,15,17,0,0,,,,,Spans across the road.,"A Tier 1 re-education facility in Konasheher, Kashgar with an external wall. Spans across the road.",,,,,
276,Yengisheher Facility #6,39.404544,76.237431,Kashgar,Yengisheher,#N/A,#N/A,1,,,0,0,1,1,an internal wall was added,2018,,,,,,,,,,,2,12,12,N/A,0,0,,,,,,"A Tier 1 re-education facility in Yengisheher, Kashgar with an external wall.  Since it was completed, an internal wall was added..",,,,,
277,Kargilik Facility #6,37.837457,77.46378,Kashgar,Kargilik,#N/A,#N/A,1,,,0,1,1,1,an external wall was built and interior fencing was added,2019,,,,,,,,,,,0,22,22,N/A,0,0,,,,,,"A Tier 1 re-education facility in Kargilik, Kashgar with and interior fencing and an external wall.  Since it was completed, an external wall was built and interior fencing was added..",,,,,
278,Burchin Facility #2,47.694596,86.868389,Altay,Burchin,#N/A,#N/A,4,,,1,0,1,0,,N/A,,,,Megha/Allison,,,,,,,N/A,N/A,3,N/A,0,0,,,,,,"A Tier 4 prison in Burchin, Altay with watchtowers and an external wall. .",,,,,
279,Beitun Facility #3,47.356426,87.821776,Beitun,Beitun,#N/A,#N/A,4,,,1,0,1,,,,,,,Megha/Allison,,,,,,,,,,,0,0,,,,,,"A Tier 4 prison in Beitun, Beitun with watchtowers and an external wall. .",,,,,
280,Chaghantoqay Facility #2,46.157235,83.025903,Tarbaghatay,Chaghantoqay,#N/A,#N/A,4,,,1,0,1,0,,N/A,,,,Megha/Allison,,,,,,,N/A,N/A,3,N/A,0,1,,,,,,"A Tier 4 prison in Chaghantoqay, Tarbaghatay with watchtowers and an external wall. .",,,,,
281,Shihu Facility #5,44.374198,84.766401,Tarbaghatay,Shihu,#N/A,#N/A,4,,,1,0,1,0,,N/A,,,,Megha/Allison,,,,,,,0,8,8,8,0,0,,,,,,"A Tier 4 prison in Shihu, Tarbaghatay with watchtowers and an external wall. .",,,,,
282,Toutunhe Facility #2,43.88356,87.393479,Urumqi,Toutunhe,#N/A,#N/A,4,,,1,0,1,0,,N/A,,,,Megha/Allison,,,,,,,5,5,5,5,0,0,,,,,,"A Tier 4 prison in Toutunhe, Urumqi with watchtowers and an external wall. .",,,,,
283,Karashahar Facility #3,42.048993,86.547788,Bayingolun,Karashahar,#N/A,#N/A,4,,,1,1,1,1,,,,,,Megha/Allison,,,,,,,N/A,0,3,N/A,1,1,,,,,,"A Tier 4 prison in Karashahar, Bayingolun with watchtowers and interior fencing and an external wall. .",,,,,
284,Baghrash Facility #3,41.980886,86.625155,Bayingolun,Baghrash,#N/A,#N/A,4,,,1,0,1,0,,N/A,,,,Megha/Allison,,,,,,,N/A,6,6,N/A,0,0,,,,,"A building, presumed to be for ameneties and outside of the walled facility, has been removed since 2019.","A Tier 4 prison in Baghrash, Bayingolun with watchtowers and an external wall. A building, presumed to be for ameneties and outside of the walled facility, has been removed since 2019.",,,,,
285,Bugur Facility #3,41.775552,84.255341,Bayingolun,Bugur,#N/A,#N/A,4,,,1,0,1,0,,N/A,,,,Megha/Allison,,,,,,,N/A,N/A,5,N/A,0,0,,,,,,"A Tier 4 prison in Bugur, Bayingolun with watchtowers and an external wall. .",,,,,
286,Toqsu Facility #1,41.560973,82.60169,Aksu,Toqsu,#N/A,#N/A,4,,,1,0,1,0,,N/A,,,,Megha/Allison,,,,,,,4,N/A,7,N/A,0,0,,,,,,"A Tier 4 prison in Toqsu, Aksu with watchtowers and an external wall. .",,,,,
287,Shayar Facility #5,41.005312,82.883844,Aksu,Shayar,#N/A,#N/A,3,,,1,1,1,0,,N/A,,,,Megha/Allison,,,,,,,N/A,N/A,8,8,0,0,,,,,,"A Tier 3 detention centre in Shayar, Aksu with watchtowers and interior fencing and an external wall. .",,,,,
288,Awat Facility #3,40.650498,80.433257,Aksu,Awat,#N/A,#N/A,1,,,0,1,1,0,,,,,,Megha/Allison,,,,,,,17,17,17,17,0,0,,,,,"A small, mostly underground structure was constructed in mid-2019. Its purpose is not clear.","A Tier 1 re-education facility in Awat, Aksu with and interior fencing and an external wall. A small, mostly underground structure was constructed in mid-2019. Its purpose is not clear.",,,,,
289,Aksu Facility #2,41.008675,80.422771,Aksu,Aksu,#N/A,#N/A,3,,,1,1,1,0,,,,,,Megha/Allison,,,,,,,N/A,10,12,N/A,1,1,,,,,,"A Tier 3 detention centre in Aksu, Aksu with watchtowers and interior fencing and an external wall. .",,,,,
290,Akchi Facility #1,40.933456,78.443048,Kizilsu,Akchi,#N/A,#N/A,4,,,1,0,1,0,,,,,,Megha/Allison,,,,,,,N/A,6,N/A,6,1,0,,,,,,"A Tier 4 prison in Akchi, Kizilsu with watchtowers and an external wall. .",,,,,
291,Tumshuq Facility #5,39.876435,79.125725,Tumshuq,Tumshuq,#N/A,#N/A,4,,,1,0,1,0,,,,,,Megha/Allison,,,,,,,9,N/A,9,N/A,0,1,,,,,,"A Tier 4 prison in Tumshuq, Tumshuq with watchtowers and an external wall. .",,,,,
292,Maralbeshi Facility #8,39.812429,78.55617,Kashgar,Maralbeshi,#N/A,#N/A,2,,,0,1,1,0,,,,,,Megha/Allison,,,,,,,3,6,6,6,0,0,,,,,,"A Tier 2 re-education facility in Maralbeshi, Kashgar with and interior fencing and an external wall. .",,,,,
293,Maralbeshi Facility #9,39.78421,78.561233,Kashgar,Maralbeshi,#N/A,#N/A,1,,,0,0,1,1,a few wings of the adjcacent prison were removed,,,,,Megha/Allison,,,,,,,6,7,10,8,1,0,,,,,,"A Tier 1 re-education facility in Maralbeshi, Kashgar with an external wall.  Since it was completed, a few wings of the adjcacent prison were removed..",,,,,1
294,Atush Facility #6,39.69837,76.141823,Kizilsu,Atush,#N/A,#N/A,2,,,0,1,1,0,,,,,,Megha/Allison,,,,,,,14,16,16,N/A,0,0,,,,,,"A Tier 2 re-education facility in Atush, Kizilsu with and interior fencing and an external wall. .",,,,,
295,Atush Facility #7,39.676114,76.082444,Kizilsu,Atush,#N/A,#N/A,4,,,1,0,1,0,,,,,,Megha/Allison,,,,,,,10,10,10,N/A,0,0,,,,,,"A Tier 4 prison in Atush, Kizilsu with watchtowers and an external wall. .",,,,,
296,Tashqorghan Facility #1,37.779817,75.228215,Kashgar,Tashqorghan,#N/A,#N/A,4,,,1,0,1,0,,,,,,Megha/Allison,,,,,,,N/A,N/A,3,N/A,0,0,,,,,,"A Tier 4 prison in Tashqorghan, Kashgar with watchtowers and an external wall. .",,,,,
297,Kashgar Facility #5,39.430005,76.056091,Kashgar,Kashgar,#N/A,#N/A,4,,,1,0,1,0,,,,,,Megha/Allison,,,,,,,12,12,12,12,0,0,,,,,,"A Tier 4 prison in Kashgar, Kashgar with watchtowers and an external wall. .",,,,,
298,Akto Facility #5,39.249297,76.006811,Kizilsu,Akto,#N/A,#N/A,4,,,1,0,1,0,,,,,,Megha/Allison,,,,,,,0,0,13,N/A,1,0,,,,,Factory warehouses adjacent to the centre are still being built.,"A Tier 4 prison in Akto, Kizilsu with watchtowers and an external wall. Factory warehouses adjacent to the centre are still being built.",,,,,
299,Yengisar Facility #3,38.937014,76.170846,Kashgar,Yengisar,#N/A,#N/A,4,,,1,0,1,0,,,,,,Megha/Allison,,,,,,,3,4,4,N/A,0,0,,,,,"This prison was present prior to the crackdown, and has expanded slightly but not much.","A Tier 4 prison in Yengisar, Kashgar with watchtowers and an external wall. This prison was present prior to the crackdown, and has expanded slightly but not much.",,,,,
300,Poskam Facility #2,38.078333,77.216839,Kashgar,Poskam,#N/A,#N/A,4,,,1,0,1,0,,,,,,Megha/Allison,,,,,,,5,7,7,7,0,0,,,,,,"A Tier 4 prison in Poskam, Kashgar with watchtowers and an external wall. .",,,,,
301,Poskam Facility #3,38.079554,77.215483,Kashgar,Poskam,#N/A,#N/A,2,,,0,1,1,0,,,,,,Megha/Allison,,,,,,,2,4,8,8,1,0,,,,,,"A Tier 2 re-education facility in Poskam, Kashgar with and interior fencing and an external wall. .",,,,,
302,Ghulja City Facility #7,43.939782,81.341889,Ili,Ghulja City,#N/A,#N/A,3,,,1,1,1,0,,,,,,Megha/Allison,,,,,,,10,14,14,14,0,0,,,,,,"A Tier 3 detention centre in Ghulja City, Ili with watchtowers and interior fencing and an external wall. .",,,,,
303,Ghulja City Facility #8,43.92152,81.341034,Ili,Ghulja City,#N/A,#N/A,4,,,1,0,1,0,,,,,,Megha/Allison,,,,,,,3,3,3,3,0,0,,,,,,"A Tier 4 prison in Ghulja City, Ili with watchtowers and an external wall. .",,,,,
304,Guma Facility #3,37.582283,78.284875,Hotan,Guma,#N/A,#N/A,4,,,1,0,1,0,,,,,,Megha/Allison,,,,,,,N/A,8,N/A,8,1,0,,,,,,"A Tier 4 prison in Guma, Hotan with watchtowers and an external wall. .",,,,,
305,Karakash Facility #7,37.218335,79.298192,Hotan,Karakash,#N/A,#N/A,4,,,1,0,1,,,,,,,Megha/Allison,,,,,,,,,,,0,0,,,,,,"A Tier 4 prison in Karakash, Hotan with watchtowers and an external wall. .",,,,,
306,Hotan County Facility #8,37.017726,79.801811,Hotan,Hotan County,#N/A,#N/A,3,,,1,1,1,0,,,,,,Megha/Allison,,,,,,,10,10,11,11,1,0,,,,,,"A Tier 3 detention centre in Hotan County, Hotan with watchtowers and interior fencing and an external wall. .",,,,,
307,Karakash Facility #8,37.27698,79.746035,Hotan,Karakash,#N/A,#N/A,4,,,1,0,1,0,,,,,,Megha/Allison,,,,,,,13,13,13,13,0,0,,,,,,"A Tier 4 prison in Karakash, Hotan with watchtowers and an external wall. .",,,,,
308,Hotan City Facility #5,37.185638,79.925781,Hotan,Hotan City,#N/A,#N/A,4,,,1,0,1,0,,,,,,Megha/Allison,,,,,,,9,9,9,9,0,0,,,,,,"A Tier 4 prison in Hotan City, Hotan with watchtowers and an external wall. .",,,,,
309,Lop Facility #7,37.077635,80.189395,Hotan,Lop,#N/A,#N/A,4,,,1,0,1,0,,,,,,Megha/Allison,,,,,,,4,N/A,4,4,0,0,,,,,,"A Tier 4 prison in Lop, Hotan with watchtowers and an external wall. .",,,,,
310,Chira Facility #4,36.972803,80.840152,Hotan,Chira,#N/A,#N/A,4,,,1,1,1,0,,,,,,Megha/Allison,,,,,,,10,10,10,15,0,1,,,,,,"A Tier 4 prison in Chira, Hotan with watchtowers and interior fencing and an external wall. .",,,,,
311,Keriye Facility #6,36.801479,81.832114,Hotan,Keriye,#N/A,#N/A,2,,,0,1,1,0,,,,,,Megha/Allison,,,,,,,N/A,N/A,4,N/A,0,0,,,,,,"A Tier 2 re-education facility in Keriye, Hotan with and interior fencing and an external wall. .",,,,,
312,Turpan Facility #6,42.94633127,89.2312723,Turpan,Turpan,76,C_TU01,1,5.09,,1,1,1,0,,,,,,,,,,,,,N/A,19,20,20,1,0,,,,,,"A Tier 1 re-education facility in Turpan, Turpan with watchtowers and interior fencing and an external wall. .",,,,,1
